"CI_INV_ID"	"ASSET_DESC_ID"	"PURCHASE_OR_RENTAL"	"UNIQUE_ID"	"CI_ACQUIRED_DATE"	"CI_STATUS_CODE"	"CI_STATUS_DATE"
101	41	"PURCHASE"	"Serial No. A1023233"	30-AUG-2022 07:18:12 AM	"UNAVAIL "	01-SEP-2022 09:19:04 AM
102	41	"PURCHASE"	"Serial No. A1023236"	30-AUG-2022 07:36:40 AM	"UNAVAIL "	01-SEP-2022 09:45:46 AM
103	41	"PURCHASE"	"Serial No. A1023243"	30-AUG-2022 07:44:44 AM	"DISPOSED"	08-SEP-2022 10:38:05 AM
104	86	"PURCHASE"	"Serial No. 728648883456"	28-JUL-2022 06:13:20 AM	"INUSE   "	29-JUL-2022 07:07:24 AM
105	86	"PURCHASE"	"Serial No. 728648883457"	28-JUL-2022 06:14:28 AM	"INUSE   "	29-JUL-2022 09:02:55 AM
106	86	"PURCHASE"	"Serial No. 728648883458"	28-JUL-2022 06:20:04 AM	"DISPOSED"	10-AUG-2022 01:38:46 PM
154	102	"PURCHASE"	"Serial 000046784"	28-SEP-2022 09:44:13 AM	"AVAIL   "	28-SEP-2022 10:08:22 AM
163	102	"PURCHASE"	"Serial 000046785"	28-SEP-2022 10:20:12 AM	"DISPOSED"	08-OCT-2022 01:40:36 PM
164	102	"PURCHASE"	"Serial 000046786"	28-SEP-2022 05:35:41 PM	"INREPAIR"	15-OCT-2022 05:22:09 PM
181	117	"PURCHASE"	"Serial No. 098567111"	20-AUG-2022 09:10:23 AM	"INUSE   "	26-AUG-2022 10:43:44 AM
182	117	"PURCHASE"	"Serial No. 098567112"	20-AUG-2022 09:11:49 AM	"INUSE   "	27-AUG-2022 01:40:45 PM
183	117	"PURCHASE"	"Serial No. 098567113"	20-AUG-2022 09:12:09 AM	"AVAIL   "	26-AUG-2022 09:14:04 AM
200	115	"PURCHASE"	"Serial No. 21039482"	26-AUG-2022 10:33:28 AM	"INUSE   "	28-AUG-2022 01:14:26 PM
201	115	"PURCHASE"	"Serial No. 22345920"	26-AUG-2022 10:34:02 AM	"UNAVAIL "	01-SEP-2022 10:06:24 AM
202	115	"PURCHASE"	"Serial No. 24038523"	26-AUG-2022 10:34:37 AM	"AVAIL   "	27-AUG-2022 09:06:57 AM
